Strain,Host source,host health,accession number,type,mecA,sdrG,ica_operon,total_genes_detected
NIHLM061,Nasal,Unsure,GCA_000276445.1,commensal,1,1,0,2
NIHLM087,Nasal,Unsure,GCA_000276505.1,commensal,0,1,1,2
NIHLM088,Nasal,Unsure,GCA_000276525.1,commensal,0,1,0,1
MTCC_3382,Nasal,Unsure,GCA_001412455.1,commensal,0,1,0,1
CV94,Nasal,Unsure,GCA_002850315.1,commensal,1,1,1,3
HESN035b,Nasal,Colonization,GCA_015070555.1,commensal,0,1,1,2
NIHLM037,Skin,Unsure,GCA_000276325.1,commensal,0,1,0,1
NIHLM053,Skin,Unsure,GCA_000276405.1,commensal,1,1,0,2
AK-612,Skin,Diseased,GCA_004343675.4,pathogen,1,1,1,3
IRL01,Blood,Diseased,GCA_009685135.1,pathogen,1,1,1,3
NCCP_16828,Blood,Diseased,GCA_009769125.1,pathogen,0,1,1,2
DAR1907,Blood,Diseased,GCA_002850315.1,pathogen,1,1,1,3
SE90,Blood,Diseased,GCA_002749455.1,pathogen,0,1,0,1
SE95,Blood,Diseased,GCA_002749515.1,pathogen,0,1,0,1
8400,Blood,Diseased,GCA_000705035.1,pathogen,0,1,1,2
1457,Device,Diseased,GCA_000705075.1,pathogen,0,1,1,2
1057,Device,Diseased,GCA_000705055.1,pathogen,1,1,1,3
94,Blood,Diseased,GCA_004323055.1,pathogen,1,1,0,2
23,Blood,Diseased,GCA_004323085.1,pathogen,1,1,0,2
GPR20,Blood,Diseased,GCA_004323075.1,pathogen,1,1,0,2
SH03_17,Blood,Diseased,GCA_002799485.1,pathogen,1,1,1,3
SH06_17,Blood,Diseased,GCA_002799565.1,pathogen,1,1,1,3
SH07_17,Blood,Diseased,GCA_002799425.1,pathogen,1,1,1,3
SH06_16,Blood,Diseased,GCA_002799505.1,pathogen,1,1,1,3
NIH04003,Blood,Diseased,GCA_000276005.1,pathogen,1,1,0,2
NIH05003,Blood,Diseased,GCA_000276025.1,pathogen,0,1,1,2
NIH06004,Blood,Diseased,GCA_000276045.1,pathogen,1,1,0,2
NIH08001,Blood,Diseased,GCA_000276065.1,pathogen,1,1,0,2
NGS-ED-1107,Blood,Diseased,GCA_000966765.1,pathogen,1,1,1,3
NGS-ED-1110,Blood,Diseased,GCA_000966815.1,pathogen,1,1,1,3
NGS-ED-1111,Blood,Diseased,GCA_000966755.1,pathogen,1,1,1,3
NGS-ED-1118,Blood,Diseased,GCA_000966775.1,pathogen,1,1,1,3
S12,Blood,Diseased,GCA_004374965.1,pathogen,1,1,0,2
S09,Blood,Diseased,GCA_004374995.1,pathogen,1,1,0,2
S21,Device,Diseased,GCA_004374765.1,pathogen,1,1,1,3
S03,Device,Diseased,GCA_004376155.1,pathogen,1,1,0,2
S19,Device,Diseased,GCA_004374915.1,pathogen,1,1,1,3
HESN074B,Blood,Diseased,GCA_015070605.1,pathogen,1,1,0,2
HESN016B,Blood,Diseased,GCA_015070675.1,pathogen,0,1,1,2
hHESN103B,Blood,Diseased,GCA_015070395.1,pathogen,0,1,0,1
HESN038B,Blood,Diseased,GCA_015070585.1,pathogen,0,1,0,1
HESN090B,Blood,Diseased,GCA_015070735.1,pathogen,0,1,1,2
C133,Blood,Diseased,GCA_015221215.1,pathogen,0,1,1,2
C138,Blood,Diseased,GCA_015221365.1,pathogen,0,1,1,2
12142587,Blood,Diseased,GCA_000304575.1,pathogen,0,1,1,2
AUH4567,Blood,Diseased,GCA_002156425.1,pathogen,0,1,1,2
AU12-03,Device,Diseased,GCA_000308395.1,pathogen,0,1,0,1
I6-23.3,Ocular,Diseased,GCA_900205795.1,pathogen,1,1,0,2
C7,Ocular,Diseased,GCA_900199615.1,pathogen,1,1,0,2
I4_5,Ocular,Diseased,GCA_900205815.1,pathogen,0,1,1,2
C3,Ocular,Diseased,GCA_900205825.1,pathogen,1,1,0,2
MRSE_52-2,Respiratory,Healthy,GCA_002307395.1,commensal,1,1,0,2
HUR103,Respiratory,Unsure,GCA_002850315.1,unknown,1,1,1,3
NIH051668,Respiratory,Unsure,GCA_000275985.2,unknown,1,1,1,3
LRKNS083,Respiratory,Colonisation,GCA_001658835.1,unknown,1,1,0,2
ET-024,Device,Diseased,GCA_000685135.1,pathogen,1,1,1,3
C10C,Respiratory,Unsure,GCA_000763625.1,unknown,1,1,1,3
SAM-3,Respiratory,Unsure,GCA_003038655.1,unknown,1,1,1,3
NIHLM003,Skin,Unsure,GCA_000276165.1,commensal,0,1,0,1
NIHLM067,Skin,Healthy,GCA_000276465.1,commensal,0,1,0,1
NIHLM015,Skin,Unsure,GCA_000276205.1,commensal,0,1,0,1
NIHLM018,Skin,Unsure,GCA_000276225.1,commensal,0,1,1,2
NIHLM031,Skin,Healthy,GCA_000276245.1,commensal,0,1,0,1
NIHLM020,Skin,Unsure,GCA_000276265.1,commensal,0,1,1,2
NIHLM021,Skin,Unsure,GCA_000276285.1,commensal,0,1,0,1
NIHLM023,Skin,Unsure,GCA_000276305.1,commensal,0,1,0,1
NIHLM095,Skin,Unsure,GCA_000276545.1,commensal,0,1,1,2
NIHLM039,Skin,Unsure,GCA_000276345.1,commensal,0,1,0,1
NIHLM040,Skin,Unsure,GCA_000276365.1,commensal,0,1,1,2
NIHLM049,Skin,Healthy,GCA_000276385.1,commensal,1,1,1,3
NIHLM057,Skin,Unsure,GCA_000276425.1,commensal,1,1,0,2
NIH04008,Blood,Diseased,GCA_000276085.1,pathogen,1,1,1,3
NIH05001,Blood,Diseased,GCA_000276105.1,pathogen,1,1,1,3
NIH05005,Blood,Diseased,GCA_000276125.1,pathogen,1,1,1,3
NIH051475,Skin,Diseased,GCA_000275965.1,pathogen,1,1,0,2
