strain	gene	contig	start	end	strand	coverage	gaps	pct_coverage	pct_identity
CV94	sdrG	CP013943.1	228359	230979	+	6-2635/2796	3/15	93.63	94.83
CV94	U43366.1	CP013943.1	2438503	2443002	+	1-4500/4500	0/0	100.00	99.44
DAR1907	icaR	CP013943.1	2438541	2442711	+	1-4171/4171	0/0	100.00	99.98
DAR1907	mecA	CP013943.1	2687697	2689810	+	1-2114/2114	0/0	100.00	99.95
DAR1907	sdrG	CP013943.1	228359	230979	+	6-2635/2796	3/15	93.63	94.83
DAR1907	U43366.1	CP013943.1	2438503	2443002	+	1-4500/4500	0/0	100.00	99.44
ET-024	icaR	JGVL01000073.1	14117	18287	+	1-4171/4171	0/0	100.00	99.38
ET-024	mecA	JGVL01000100.1	2301	4414	+	1-2114/2114	0/0	100.00	99.95
ET-024	sdrG	JGVL01000006.1	52153	54949	+	1-2796/2796	1/1	100.00	99.93
ET-024	U43366.1	JGVL01000073.1	14079	18578	+	1-4500/4500	0/0	100.00	100.00
GPR20	mecA	RJDX01000026.1	65789	67902	-	1-2114/2114	0/0	100.00	99.95
GPR20	sdrG	RJDX01000032.1	51588	54249	+	6-2655/2796	3/12	94.78	94.78
HD33	sdrG	CP040864.1	2158178	2161016	-	6-2796/2796	5/48	99.82	93.69
HD43	icaR	CP040867.1	222044	226214	-	1-4171/4171	0/0	100.00	99.93
HD43	mecA	CP040867.1	5078	7191	-	1-2114/2114	0/0	100.00	99.91
HD43	sdrG	CP040867.1	2155493	2158288	-	1-2796/2796	0/0	100.00	99.96
HD43	U43366.1	CP040867.1	221753	226252	-	1-4500/4500	0/0	100.00	99.27
HD66	mecA	CP040868.1	4853	6966	-	1-2114/2114	0/0	100.00	99.95
HD66	sdrG	CP040868.1	2246987	2249628	-	6-2635/2796	3/12	94.06	95.08
HESN016B	icaR	JADCSG010000004.1	32482	36652	+	1-4171/4171	0/0	100.00	99.16
HESN016B	sdrG	JADCSG010000002.1	54357	57011	+	1-2635/2796	3/20	94.24	95.56
HESN016B	U43366.1	JADCSG010000004.1	32444	36943	+	1-4500/4500	0/0	100.00	99.73
HESN035b	icaR	JADCSM010000019.1	22287	26457	-	1-4171/4171	0/0	100.00	99.98
HESN035b	sdrG	JADCSM010000016.1	18419	21215	+	1-2796/2796	1/1	100.00	99.93
HESN035b	U43366.1	JADCSM010000019.1	21996	26495	-	1-4500/4500	0/0	100.00	99.31
HESN038B	sdrG	JADCSK010000012.1	15707	18283	-	6-2582/2796	2/6	92.06	98.10
HESN074B	mecA	JADCSI010000009.1	100804	102917	+	1-2114/2114	0/0	100.00	99.91
HESN074B	sdrG	JADCSI010000014.1	38231	41021	-	6-2796/2796	2/6	99.71	98.28
HESN090B	icaR	JADCSE010000006.1	110965	115135	-	1-4171/4171	0/0	100.00	99.16
HESN090B	sdrG	JADCSE010000014.1	54357	57011	+	1-2635/2796	3/20	94.24	95.59
HESN090B	U43366.1	JADCSE010000006.1	110674	115173	-	1-4500/4500	0/0	100.00	99.73
hHESN103B	sdrG	JADCSS010000007.1	54629	57262	+	6-2633/2796	3/12	93.88	96.62
HUR103	icaR	CP013943.1	2438541	2442711	+	1-4171/4171	0/0	100.00	99.98
HUR103	mecA	CP013943.1	2687697	2689810	+	1-2114/2114	0/0	100.00	99.95
HUR103	sdrG	CP013943.1	228359	230979	+	6-2635/2796	3/15	93.63	94.83
HUR103	U43366.1	CP013943.1	2438503	2443002	+	1-4500/4500	0/0	100.00	99.44
I4_5	icaR	OANX01000002.1	118274	122444	-	1-4171/4171	0/0	100.00	99.38
I4_5	sdrG	OANX01000004.1	51235	54030	+	1-2796/2796	0/0	100.00	99.93
I4_5	U43366.1	OANX01000002.1	117983	122482	-	1-4500/4500	0/0	100.00	100.00
I6-23.3	mecA	OAOB01000006.1	1459	3572	+	1-2114/2114	0/0	100.00	99.91
I6-23.3	sdrG	OAOB01000001.1	51235	54031	+	1-2796/2796	1/1	100.00	99.93
IRL01	icaR	CP045648.1	91969	96138	+	1-4171/4171	1/1	99.98	99.95
IRL01	mecA	CP045648.1	248513	250626	-	1-2114/2114	0/0	100.00	99.86
IRL01	sdrG	CP045648.1	2511157	2513777	-	6-2635/2796	3/15	93.63	94.87
IRL01	U43366.1	CP045648.1	91931	96429	+	1-4500/4500	1/1	99.98	99.42
LRKNS083	mecA	LXRU01000007.1	26432	28545	+	1-2114/2114	0/0	100.00	99.95
LRKNS083	sdrG	LXRU01000022.1	50979	53606	+	1-2635/2796	4/17	93.81	94.77
MFP04	sdrG	JACFUA010000003.1	17952	20601	+	6-2655/2796	2/6	94.67	95.48
MO34	sdrG	BEZU01000016.1	609	3283	-	1-2655/2796	3/20	94.96	95.22
MRSE_52-2	mecA	NTLC01000002.1	2453	4566	-	1-2114/2114	0/0	100.00	99.95
MRSE_52-2	sdrG	NTLC01000017.1	12788	15422	-	1-2635/2796	2/2	94.21	99.73
MTCC_3382	sdrG	LILE01000003.1	51288	53920	+	6-2644/2796	5/14	94.03	95.01
NCCP_16828	icaR	CP043847.1	1742365	1746534	-	1-4171/4171	1/1	99.98	99.14
NCCP_16828	sdrG	CP043847.1	1255981	1258646	-	6-2635/2796	4/54	93.74	94.02
NCCP_16828	U43366.1	CP043847.1	1742074	1746572	-	1-4500/4500	1/1	99.98	99.49
NGS-ED-1107	icaR	JZUO01000007.1	2574	6744	+	1-4171/4171	0/0	100.00	99.98
NGS-ED-1107	mecA	JZUO01000025.1	37110	39223	+	1-2114/2114	0/0	100.00	99.95
NGS-ED-1107	sdrG	JZUO01000001.1	151757	154377	-	6-2635/2796	3/15	93.63	94.87
NGS-ED-1107	U43366.1	JZUO01000007.1	2536	7035	+	1-4500/4500	0/0	100.00	99.44
NGS-ED-1110	icaR	JZUM01000007.1	2574	6744	+	1-4171/4171	0/0	100.00	99.98
NGS-ED-1110	mecA	JZUM01000024.1	37332	39445	+	1-2114/2114	0/0	100.00	99.95
NGS-ED-1110	sdrG	JZUM01000002.1	51927	54547	+	6-2635/2796	3/15	93.63	94.87
NGS-ED-1110	U43366.1	JZUM01000007.1	2536	7035	+	1-4500/4500	0/0	100.00	99.44
NGS-ED-1111	icaR	JZUN01000008.1	2574	6744	+	1-4171/4171	0/0	100.00	99.98
NGS-ED-1111	mecA	JZUN01000023.1	37494	39607	+	1-2114/2114	0/0	100.00	99.95
NGS-ED-1111	sdrG	JZUN01000002.1	51927	54547	+	6-2635/2796	3/15	93.63	94.87
NGS-ED-1111	U43366.1	JZUN01000008.1	2536	7035	+	1-4500/4500	0/0	100.00	99.44
NGS-ED-1118	icaR	JZUP01000028.1	2574	6744	+	1-4171/4171	0/0	100.00	99.98
NGS-ED-1118	mecA	JZUP01000024.1	37494	39607	+	1-2114/2114	0/0	100.00	99.95
NGS-ED-1118	sdrG	JZUP01000001.1	51927	54547	+	6-2635/2796	3/15	93.63	94.87
NGS-ED-1118	U43366.1	JZUP01000028.1	2536	7035	+	1-4500/4500	0/0	100.00	99.44
NIH04003	mecA	AKHJ01000039.1	21897	24010	+	1-2114/2114	0/0	100.00	99.95
NIH04003	sdrG	AKHJ01000002.1	51428	54089	+	6-2655/2796	3/12	94.78	94.78
NIH04008	icaR	AKHF01000079.1	14709	18879	+	1-4171/4171	0/0	100.00	99.98
NIH04008	mecA	AKHF01000038.1	34636	36749	+	1-2114/2114	0/0	100.00	99.95
NIH04008	sdrG	AKHF01000069.1	19521	22141	-	6-2635/2796	3/15	93.63	94.87
NIH04008	U43366.1	AKHF01000079.1	14671	19170	+	1-4500/4500	0/0	100.00	99.44
NIH05001	icaR	AKHE01000104.1	14590	18760	-	1-4171/4171	0/0	100.00	100.00
NIH05001	mecA	AKHE01000145.1	18632	20745	+	1-2114/2114	0/0	100.00	99.95
NIH05001	sdrG	AKHE01000140.1	160	2792	-	6-2644/2796	5/14	94.03	94.97
NIH05001	U43366.1	AKHE01000104.1	14299	18798	-	1-4500/4500	0/0	100.00	99.29
NIH05003	icaR	AKHI01000029.1	22279	26449	-	1-4171/4171	0/0	100.00	99.38
NIH05003	sdrG	AKHI01000003.1	16233	19028	+	1-2796/2796	0/0	100.00	99.93
NIH05003	U43366.1	AKHI01000029.1	21988	26487	-	1-4500/4500	0/0	100.00	100.00
NIH05005	icaR	AKHD01000035.1	14986	19156	+	1-4171/4171	0/0	100.00	100.00
NIH05005	mecA	AKHD01000049.1	1751	3864	-	1-2114/2114	0/0	100.00	99.95
NIH05005	sdrG	AKHD01000030.1	1	2574	-	6-2585/2796	3/12	91.95	95.20
NIH05005	U43366.1	AKHD01000035.1	14948	19447	+	1-4500/4500	0/0	100.00	99.29
NIH051475	mecA	AKHL01000043.1	18507	20620	+	1-2114/2114	0/0	100.00	99.95
NIH051475	sdrG	AKHL01000001.1	55148	57786	+	6-2644/2796	2/6	94.28	97.50
NIH051668	icaR	AKHK01000028.1	67736	71906	+	1-4171/4171	0/0	100.00	99.98
NIH051668	mecA	AKHK01000038.1	3025	5138	-	1-2114/2114	0/0	100.00	99.95
NIH051668	sdrG	AKHK01000002.1	51471	54091	+	6-2635/2796	3/15	93.63	94.87
NIH051668	U43366.1	AKHK01000028.1	67698	72197	+	1-4500/4500	0/0	100.00	99.44
NIH06004	mecA	AKHH01000022.1	11806	13919	+	1-2114/2114	0/0	100.00	99.95
NIH06004	sdrG	AKHH01000033.1	6779	9440	-	6-2655/2796	3/12	94.78	94.78
NIH08001	mecA	AKHG01000018.1	2861	4974	-	1-2114/2114	0/0	100.00	99.95
NIH08001	sdrG	AKHG01000015.1	6786	9447	-	6-2655/2796	3/12	94.78	94.78
NIHLM001	sdrG	AKHC01000007.1	36	2686	-	1-2655/2796	4/14	94.64	94.85
NIHLM003	sdrG	AKHB01000015.1	125240	127907	-	6-2655/2796	4/20	94.74	95.05
NIHLM008	sdrG	AKHA01000016.1	146	2787	-	6-2635/2796	3/12	94.06	95.04
NIHLM015	sdrG	AKGZ01000001.1	55327	57964	+	6-2655/2796	3/18	94.24	97.44
NIHLM018	icaR	AKGY01000036.1	111182	115352	-	1-4171/4171	0/0	100.00	99.38
NIHLM018	sdrG	AKGY01000042.1	19233	21876	-	6-2655/2796	3/12	94.46	94.87
NIHLM018	U43366.1	AKGY01000036.1	110891	115390	-	1-4500/4500	0/0	100.00	100.00
NIHLM020	icaR	AKGW01000036.1	14821	18991	+	1-4171/4171	0/0	100.00	99.35
NIHLM020	sdrG	AKGW01000019.1	122085	124880	-	1-2796/2796	0/0	100.00	99.93
NIHLM020	U43366.1	AKGW01000036.1	14783	19282	+	1-4500/4500	0/0	100.00	99.98
NIHLM021	sdrG	AKGV01000044.1	172	2817	-	1-2655/2796	6/19	94.46	94.40
NIHLM023	sdrG	AKGU01000067.1	30277	32912	-	1-2635/2796	1/1	94.24	99.77
NIHLM031	sdrG	AKGX01000055.1	197	2839	-	1-2635/2796	4/14	94.13	96.64
NIHLM037	sdrG	AKGT01000052.1	55225	57869	+	6-2644/2796	3/12	94.28	97.51
NIHLM039	sdrG	AKGS01000041.1	116957	119600	-	6-2655/2796	3/12	94.46	95.03
NIHLM040	icaR	AKGR01000012.1	14729	18899	+	1-4171/4171	0/0	100.00	99.42
NIHLM040	sdrG	AKGR01000010.1	84213	86869	-	6-2644/2796	2/18	94.38	95.26
NIHLM040	U43366.1	AKGR01000012.1	14691	19190	+	1-4500/4500	0/0	100.00	99.67
NIHLM049	icaR	AKGQ01000050.1	204329	208499	+	1-4171/4171	0/0	100.00	99.38
NIHLM049	mecA	AKGQ01000015.1	1751	3864	+	1-2114/2114	0/0	100.00	99.95
NIHLM049	sdrG	AKGQ01000037.1	51358	54154	+	1-2796/2796	1/1	100.00	99.89
NIHLM049	U43366.1	AKGQ01000050.1	204291	208790	+	1-4500/4500	0/0	100.00	100.00
NIHLM053	mecA	AKGP01000048.1	12622	14735	+	1-2114/2114	0/0	100.00	99.91
NIHLM053	sdrG	AKGP01000017.1	28335	31125	-	6-2796/2796	2/6	99.71	98.60
NIHLM057	mecA	AKGO01000089.1	12618	14731	+	1-2114/2114	0/0	100.00	99.91
NIHLM057	sdrG	AKGO01000079.1	28301	31091	-	6-2796/2796	2/6	99.71	98.60
NIHLM061	mecA	AKGN01000052.1	1826	3939	+	1-2114/2114	0/0	100.00	99.95
NIHLM061	sdrG	AKGN01000038.1	30296	32931	-	1-2635/2796	1/1	94.24	99.77
NIHLM067	sdrG	AKGM01000014.1	9	2641	-	6-2644/2796	3/12	94.06	94.97
NIHLM070	sdrG	AKGL01000053.1	7	2636	-	6-2635/2796	2/6	93.96	95.44
NIHLM087	icaR	AKGK01000057.1	180910	185080	-	1-4171/4171	0/0	100.00	99.28
NIHLM087	sdrG	AKGK01000063.1	54647	57239	+	1-2609/2796	3/26	92.56	95.52
NIHLM087	U43366.1	AKGK01000057.1	180619	185118	-	1-4500/4500	0/0	100.00	99.33
NIHLM088	sdrG	AKGJ01000038.1	51378	54014	+	6-2630/2796	3/12	93.88	95.07
NIHLM095	icaR	AKGI01000025.1	157025	161195	-	1-4171/4171	0/0	100.00	99.28
NIHLM095	sdrG	AKGI01000028.1	54706	57557	+	1-2796/2796	4/56	100.00	94.11
NIHLM095	U43366.1	AKGI01000025.1	156734	161233	-	1-4500/4500	0/0	100.00	99.33
O47	icaR	CP040883.1	224578	228748	-	1-4171/4171	0/0	100.00	99.93
O47	sdrG	CP040883.1	2286797	2289417	-	6-2635/2796	3/15	93.63	94.87
O47	U43366.1	CP040883.1	224287	228786	-	1-4500/4500	0/0	100.00	99.40
S03	mecA	SNNO01000126.1	2373	4486	+	1-2114/2114	0/0	100.00	99.95
S03	sdrG	SNNO01000085.1	178	2810	-	6-2644/2796	3/12	94.06	94.81
S09	mecA	SNNK01000036.1	3628	5741	-	1-2114/2114	0/0	100.00	99.95
S09	sdrG	SNNK01000004.1	51149	53945	+	1-2796/2796	1/1	100.00	99.89
S12	mecA	SNNI01000039.1	13105	15218	+	1-2114/2114	0/0	100.00	99.91
S12	sdrG	SNNI01000013.1	51149	53945	+	1-2796/2796	1/1	100.00	99.93
S19	icaR	SNNB01000011.1	2261	6431	+	1-4171/4171	0/0	100.00	99.98
S19	mecA	SNNB01000068.1	1752	3734	-	132-2114/2114	0/0	93.80	99.95
S19	sdrG	SNNB01000019.1	51167	53807	+	6-2655/2796	3/15	94.35	94.65
S19	U43366.1	SNNB01000011.1	2223	6722	+	1-4500/4500	0/0	100.00	99.44
S21	icaR	SNNA01000007.1	110470	114640	-	1-4171/4171	0/0	100.00	99.38
S21	mecA	SNNA01000005.1	100143	102256	-	1-2114/2114	0/0	100.00	99.91
S21	sdrG	SNNA01000008.1	36204	38999	-	1-2796/2796	0/0	100.00	99.96
S21	U43366.1	SNNA01000007.1	110179	114678	-	1-4500/4500	0/0	100.00	100.00
SAM-3	icaR	PYFN01000003.1	126169	130339	+	1-4171/4171	0/0	100.00	99.93
SAM-3	mecA	PYFN01000035.1	1493	3606	+	1-2114/2114	0/0	100.00	99.95
SAM-3	sdrG	PYFN01000010.1	47986	50781	-	1-2796/2796	0/0	100.00	99.96
SAM-3	U43366.1	PYFN01000003.1	126131	130630	+	1-4500/4500	0/0	100.00	99.27
SE35	sdrG	LUBQ01000047.1	54755	57415	+	6-2654/2796	5/18	94.64	97.33
SE39	sdrG	LUBN01000074.1	2892	5518	+	6-2644/2796	3/18	93.85	97.50
SE40	sdrG	LUBM01000011.1	54776	57436	+	6-2654/2796	5/18	94.64	97.33
SE42	sdrG	LUBK01000208.1	7510	10145	+	6-2635/2796	3/12	93.96	97.69
SE43	sdrG	LUBJ01000268.1	1	2544	-	1-2543/2796	1/1	90.95	99.88
SE47	sdrG	LUBF01000072.1	11286	13814	+	6-2546/2796	3/18	90.34	98.03
SE48	sdrG	LUBE01000163.1	7869	10457	+	6-2606/2796	3/18	92.49	97.66
SE49	sdrG	LUBD01000038.1	1	2602	+	65-2654/2796	5/18	92.53	97.27
SE52	sdrG	LUBS01000183.1	1	2534	-	64-2597/2796	0/0	90.63	99.96
SE53	sdrG	LUBT01000229.1	8177	10973	-	1-2796/2796	1/1	100.00	99.93
SE56	sdrG	LUBW01000198.1	1	2489	+	131-2619/2796	0/0	89.02	99.88
SE90	sdrG	CP024408.1	1794635	1797326	-	6-2655/2796	3/42	94.78	96.73
SE95	sdrG	CP024437.1	1830879	1833514	-	6-2635/2796	3/12	93.96	96.86
SESURV_p1_0557	sdrG	CP043777.1	611222	614018	-	1-2796/2796	1/1	100.00	99.93
SESURV_p1_0563	sdrG	CP043781.1	118505	121148	-	6-2655/2796	3/12	94.46	95.03
SESURV_p1_1200	sdrG	CP043796.1	2019973	2022769	-	1-2796/2796	1/1	100.00	99.93
SESURV_p2_0614	sdrG	CP043788.1	132994	135856	+	6-2796/2796	5/72	99.82	96.19
SESURV_p3_0825	sdrG	CP043792.1	374751	377394	-	6-2655/2796	3/12	94.46	95.03
SESURV_p3_1362	sdrG	CP043801.1	642009	644652	+	6-2655/2796	3/12	94.46	95.03
SH03_17	icaR	PHKH01000010.1	22320	26489	-	1-4171/4171	1/1	99.98	99.95
SH03_17	mecA	PHKH01000024.1	26828	28941	+	1-2114/2114	0/0	100.00	99.95
SH03_17	sdrG	PHKH01000020.1	41	2661	-	6-2635/2796	3/15	93.63	94.72
SH03_17	U43366.1	PHKH01000010.1	22029	26527	-	1-4500/4500	1/1	99.98	99.42
SH06_16	icaR	PHKI01000022.1	15347	19516	+	1-4171/4171	1/1	99.98	99.95
SH06_16	mecA	PHKI01000024.1	26829	28942	+	1-2114/2114	0/0	100.00	99.95
SH06_16	sdrG	PHKI01000008.1	51151	53914	+	6-2796/2796	4/33	98.75	94.31
SH06_16	U43366.1	PHKI01000022.1	15309	19807	+	1-4500/4500	1/1	99.98	99.42
SH06_17	icaR	PHKN01000009.1	22320	26489	-	1-4171/4171	1/1	99.98	99.95
SH06_17	mecA	PHKN01000027.1	26826	28939	+	1-2114/2114	0/0	100.00	99.95
SH06_17	sdrG	PHKN01000004.1	51148	53806	+	6-2655/2796	3/27	94.46	94.23
SH06_17	U43366.1	PHKN01000009.1	22029	26527	-	1-4500/4500	1/1	99.98	99.42
SH07_17	icaR	PHKM01000015.1	22320	26490	-	1-4171/4171	2/2	99.98	99.93
SH07_17	mecA	PHKM01000029.1	26830	28943	+	1-2114/2114	0/0	100.00	99.95
SH07_17	sdrG	PHKM01000017.1	51151	53914	+	6-2796/2796	4/33	98.75	94.31
SH07_17	U43366.1	PHKM01000015.1	22029	26528	-	1-4500/4500	2/2	99.98	99.40
SK135	sdrG	ADEY01000013.1	123324	126119	-	1-2796/2796	2/2	99.96	99.89
ST14	sdrG	LGJG01000031.1	13248	15916	-	1-2655/2796	4/14	94.96	94.75
VSE3	mecA	LGVJ01000119.1	1375	3488	+	1-2114/2114	0/0	100.00	99.95
VSE3	sdrG	LGVJ01000031.1	12721	15517	-	1-2796/2796	1/1	100.00	99.86
VSE37	sdrG	MLWZ01000038.1	14076	16736	-	6-2654/2796	5/18	94.64	97.33
VSE39	sdrG	MLXA01000022.1	54927	57455	+	6-2546/2796	3/18	90.34	98.03
VSE41	sdrG	MLXB01000002.1	55057	57692	+	6-2635/2796	3/12	93.96	97.69
VSE43	sdrG	MLXD01000005.1	54776	57336	+	6-2578/2796	3/18	91.49	97.79
VSE44	sdrG	MNBF01000001.1	55076	57711	+	6-2635/2796	3/12	93.96	97.65
VSE46	sdrG	MLXE01000059.1	172	2832	-	6-2654/2796	5/18	94.64	97.33
VSE47	sdrG	MLXF01000078.1	16433	18964	+	6-2549/2796	3/18	90.45	98.00
VSE54	sdrG	MLXK01000010.1	196	2856	-	6-2654/2796	5/18	94.64	97.37
VSE56	sdrG	MNBG01000070.1	7216	9876	+	6-2654/2796	5/18	94.64	97.37
VSE58	sdrG	MLXM01000021.1	306	2966	-	6-2654/2796	5/18	94.64	97.33
